name,number,img_url
Alisson Becker,1,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/14/thumb_113591_misc_general_500.jpeg
Adrian,13,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/14/thumb_113604_misc_general_500.jpeg
Caoimhin Kelleher,62,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/14/thumb_113593_misc_general_500.jpeg
Marcelo Pitaluga,,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/13/thumb_112241_misc_general_500.jpeg
Virgil van Dijk,4,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/14/thumb_113617_misc_general_500.jpeg
Joe Gomez,12,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/14/thumb_113601_misc_general_500.jpeg
Ozan Kabak,19,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/18/thumb_117485_misc_general_500.jpeg
Kostas Tsimikas,21,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/14/thumb_113619_misc_general_500.jpeg
Andy Robertson,26,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/14/thumb_113592_misc_general_500.jpeg
Ben Davies,28,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/18/thumb_117484_misc_general_500.jpeg
Joel Matip,32,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/14/thumb_113602_misc_general_500.jpeg
Rhys Williams,46,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/14/thumb_113610_misc_general_500.jpeg
Nathaniel Phillips,47,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/14/thumb_113608_misc_general_500.jpeg
Trent Alexander-Arnold,66,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/14/thumb_113616_misc_general_500.jpeg
Neco Williams,76,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/14/thumb_113609_misc_general_500.jpeg
Fabinho,3,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/14/thumb_113597_misc_general_500.jpeg
Georginio Wijnaldum,5,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/14/thumb_113598_misc_general_500.jpeg
Thiago Alcantara,6,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/14/thumb_113615_misc_general_500.jpeg
James Milner,7,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/14/thumb_113600_misc_general_500.jpeg
Naby Keita,8,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/14/thumb_113607_misc_general_500.jpeg
Jordan Henderson,14,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/14/thumb_113603_misc_general_500.jpeg
Alex Oxlade-Chamberlain,15,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/14/thumb_113590_misc_general_500.jpeg
Curtis Jones,17,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/14/thumb_113594_misc_general_500.jpeg
Xherdan Shaqiri,23,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/14/thumb_113618_misc_general_500.jpeg
Ben Woodburn,58,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/10/thumb_109922_misc_general_500.jpeg
